# Dump af CWs Excel-ark med samtlige Data-Elementer (ikke fra JSON-maskinen).
# Jeg har tilføjet 'de 7 levels' der står som de første rækker efter headerrækken.
#DE No.;Ref ID5;Data element/class name / Data sub-element/sub-class name;Format;Code;A1;A2;A3;B1;B2;B3;B4;C1;C2;D1;D2;D3;D4;E1;E2;F10;F11;F12;F13;F14;F15;F16;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F40;F41;F42;F43;F44;F45;F50;F51;G2;G3;G4;G5;H1;H2;H3;H4;H5;H6;H7;I1;I2;D;MC;MI;HC;HI;GS;SI
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;Declaration;;
2;;MC;;
3;;MI;;
4;;HC;;
5;;HI;;
6;;Goods Shipment;;
7;;Government Agency Goods Shipment;;
11 01 000 000;1/1;Declaration type;;;;;;A;A;A;A;A;;A;A;A;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;A;A;A;A;A;;A;;1x;;;;1x;;
11 01 001 000;1/1;Declaration type;an..5;Y;;;;A;A;A;A;A;;A;A;A;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;A;A;A;A;A;;A;;;;;;;;
11 02 000 000;1/2;Additional declaration type;;;;;;A;A;A;A;A;;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;A;A;A;A;A;A;A;;1x;;;;;;
11 02 001 000;1/2;Additional declaration type;a1;Y;;;;A;A;A;A;A;;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;A;A;A;A;A;A;A;;;;;;;;
11 03 000 000;1/6;Goods item number;;;A;A;A;A;A;A;A;A;A;A;A;;;A;A;A;A;A;A;A;A;;A;A;A;A;A;;A;A;A;A;A;A;A;A;;;;A;;;A;A;;;A;A;A;A;A;A;A;A;A;A;A;;;1x;;1x;;1x
11 03 001 000;1/6;Goods item number;n..5;N;A;A;A;A;A;A;A;A;A;A;A;;;A;A;A;A;A;A;A;A;;A;A;A;A;A;;A;A;A;A;A;A;A;A;;;;A;;;A;A;;;A;A;A;A;A;A;A;A;A;A;A;;;;;;;
11 04 000 000;1/7;Specific circumstance indicator;;;;A;;;;;;;;;;;;;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;;;A;A;;;;;;;;;;1x;;;;;;
11 04 001 000;1/7;Specific circumstance indicator;an3;Y;;A;;;;;;;;;;;;;;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;;;A;A;;;;;;;;;;;;;;;;
11 05 000 000;NEW;Re-entry indicator;;;;;;;;;;;;;;;;;;A;A;A;A;;;;A;A;;;;;;A;A;A;A;A;;;A;A;A;;;A;A;A;;;;;;;;;;;;;;1x;;;;;;
11 05 001 000;NEW;Re-entry indicator;n1;Y;;;;;;;;;;;;;;;;A;A;A;A;;;;A;A;;;;;;A;A;A;A;A;;;A;A;A;;;A;A;A;;;;;;;;;;;;;;;;;;;;
